,gendered,neutral
0,Se han incorporado al centro dos docentes para el nuevo curso. Los formadores Rubén y Juan serán los responsables de coordinar el departamento de Conocimiento del Medio.,Se han incorporado al centro dos docentes para el nuevo curso. Los profesores Rubén y Juan serán los responsables de coordinar el departamento de Conocimiento del Medio.
1,Tenemos que cubrir las carencias que presenta el promotor incorporando personal con un perfil diferente para compensar los erroes pasados,Tenemos que cubrir las carencias que presenta el equipo promotor incorporando personal con un perfil diferente para compensar los erroes pasados
2,Habla con tu médico para averiguar si necesitas que se cambie tu dosis de paracetamol o del resto medicamentos que consumes de manera habitual,Habla con tu médico para averiguar si necesitas que se cambie tu dosis de paracetamol o del resto medicamentos que consumes de manera habitual
3,"Mientras tanto , el espectador comenzaba a impacientarse","Mientras tanto , la audiencia comenzaba a impacientarse"
4,Los intermediarios del acuerdo se ocuparán también de saber si la clínica tiene todas sus cuentas al día y si no hay problemas legales pendientes,El equipo intermediadior del acuerdo se ocupará también de saber si la clínica tiene todas sus cuentas al día y si no hay problemas legales pendientes
5,Se entrevistará a los tutores por orden de entrega.,Se entrevistará al profesorado por orden de entrega.
6,El tiempo que esté aquí no debe tomar ninguna medicación que no le sea suministrada por los especialistas en su cirujía,El tiempo que esté aquí no debe tomar ninguna medicación que no le sea suministrada por el personal experto en su cirujía
7,Es importante solventar los problemas que tiene el promotor añadiendo personal con un perfil diferente para compensar los erroes pasados,Es importante solventar los problemas que tiene el personal promotor añadiendo personal con un perfil diferente para compensar los erroes pasados
8,"Estas iniciativas se desarrollan en todo el espectro de interacciones entre los funcionarios y el público , ya sea en el gobierno , salud entre otros","Estas iniciativas se desarrollan en todo el espectro de interacciones entre el funcionariado y el público , ya sea en el gobierno , salud entre otros"
9,Mientras esté ingresado no debe tomar ninguna medicación que no le sea suministrada por los especializados en este caso,Mientras esté ingresado no debe tomar ninguna medicación que no le sea suministrada por el personal experto en este caso
10,Mientras esté ingresado no debe tomar agua que no le sea suministrada por los expertos en su cirujía,Mientras esté ingresado no debe tomar agua que no le sea suministrada por el personal especializado en su cirujía
11,Durante su ingreso no debe tomar agua que no le sea suministrada por los especializados en su cirujía,Durante su ingreso no debe tomar agua que no le sea suministrada por el personal experto en su cirujía
12,Hay que respetar las propiedades de los demás,Hay que respetar las propiedades ajenas
13,Estos servicios permitirán que los administrativos trabaje con más eficacia y realice sus actividades de manera más óptima,Estos servicios permitirán que el personal administrativo trabaje con más eficacia y realice sus actividades de manera más óptima
14,Tenemos que cubrir las carencias que tiene el promotor contratando personal cualificado con un perfil diferente para compensar los erroes pasados,Tenemos que cubrir las carencias que tiene el personal promotor contratando personal cualificado con un perfil diferente para compensar los erroes pasados
15,Se han incorporado al centro dos docentes para el nuevo curso. Las profesoras Miriam y Elena serán las responsables de coordinar el departamento de Matemáticas.,Se han incorporado al centro dos docentes para el nuevo curso. Las profesoras Miriam y Elena serán las responsables de coordinar el departamento de Matemáticas.
16,La Universidad de Jaén tiene aproximadamente 16 000 alumnos,La Universidad de Jaén tiene aproximadamente 16 000 estudiantes
17,Los periódicos podrán publicar haciendo constar siempre la procedencia y el autor de las encuestas,Los periódicos podrán publicar haciendo constar siempre la procedencia y la autoría de las encuestas
