gender_exclusive,gender_inclusive,origin,difficulty
La mayoría de los médicos tienen experiencia.,La mayoría del personal médico tiene experiencia.,GPT-3.5_fewshot,plural_complejo
La mayoría de los ingenieros tienen experiencia.,La mayoría del personal de ingeniería tiene experiencia.,GPT-3.5_fewshot,plural_complejo
La mayoría de los abogados tienen experiencia.,La mayoría del personal jurídico tiene experiencia.,GPT-3.5_fewshot,plural_complejo
La mayoría de los profesores tienen experiencia.,La mayoría del personal docente tiene experiencia.,GPT-3.5_fewshot,plural_complejo
La mayoría de los científicos tienen experiencia.,La mayoría del personal científico tiene experiencia.,GPT-3.5_fewshot,plural_complejo
La mayoría de los diseñadores tienen experiencia.,La mayoría del equipo de diseño tiene experiencia.,GPT-3.5_fewshot,plural_complejo
La mayoría de los empleados disfrutan de su trabajo.,La mayoría del personal disfruta de su trabajo.,GPT-3.5_fewshot,plural_complejo
La mayoría de los empleados buscan oportunidades de crecimiento.,La mayoría del personal busca oportunidades de crecimiento.,GPT-3.5_fewshot,plural_complejo
La mayoría de los empleados cumplen con sus responsabilidades.,La mayoría del personal cumple con sus responsabilidades.,GPT-3.5_fewshot,plural_complejo
La mayoría de los empleados contribuyen al éxito de la empresa.,La mayoría del personal contribuye al éxito de la empresa.,GPT-3.5_fewshot,plural_complejo
La mayoría de los empleados se esfuerzan por alcanzar objetivos.,La mayoría del personal se esfuerza por alcanzar objetivos.,GPT-3.5_fewshot,plural_complejo
Los médicos realizan cirugías todos los días.,El personal médico realiza cirugías todos los días.,GPT-3.5_fewshot,plural_complejo
Los profesores preparan clases para sus alumnos.,El personal docente prepara clases para los estudiantes.,GPT-3.5_fewshot,plural_complejo
Los ingenieros diseñan nuevos productos.,El personal de ingeniería diseña nuevos productos.,GPT-3.5_fewshot,plural_complejo
Los abogados defienden los derechos de sus clientes.,El personal jurídico defiende los derechos de sus clientes.,GPT-3.5_fewshot,plural_complejo
Los arquitectos diseñan edificios innovadores.,El personal de arquitectura diseña edificios innovadores.,GPT-3.5_fewshot,plural_complejo
Los científicos realizan experimentos en el laboratorio.,El personal científico realiza experimentos en el laboratorio.,GPT-3.5_fewshot,plural_complejo
Los programadores desarrollan aplicaciones informáticas.,El equipo de programación desarrolla aplicaciones informáticas.,GPT-3.5_fewshot,plural_complejo
Los bomberos apagan incendios y salvan vidas.,El personal de bomberos apaga incendios y salva vidas.,GPT-3.5_fewshot,plural_complejo
Los escritores redactan historias cautivadoras.,El equipo de redacción redacta historias cautivadoras.,GPT-3.5_fewshot,plural_complejo
Los psicólogos brindan apoyo emocional a sus pacientes.,El personal de psicología brinda apoyo emocional a sus pacientes.,GPT-3.5_fewshot,plural_complejo
Los atletas entrenan arduamente para competir.,El equipo deportivo entrena arduamente para competir.,GPT-3.5_fewshot,plural_complejo
Saludos a todos los médicos en su día.,Saludos a médicas y médicos en su día.,GPT-3.5_fewshot,plural_complejo
Los empleados de la empresa recibieron bonificaciones.,Las empleadas y los empleados de la empresa recibieron bonificaciones.,GPT-3.5_fewshot,plural_complejo
Los empresarios invirtieron en nuevas tecnologías.,Las empresarias y los empresarios invirtieron en nuevas tecnologías.,GPT-3.5_fewshot,plural_complejo
Saludos a todos los profesores en su día.,Saludos a profesoras y profesores en su día.,GPT-3.5_fewshot,plural_complejo
Saludos a todos los programadores en su día.,Saludos a programadoras y programadores en su día.,GPT-3.5_fewshot,plural_complejo
Los escritores presentaron sus libros en la feria literaria.,Las escritoras y los escritores presentaron sus libros en la feria literaria.,GPT-3.5_fewshot,plural_complejo
Los chefs preparan platos gourmet.,Los y las chefs preparan platos gourmet.,GPT-3.5_fewshot,plural_complejo
Los chefs preparan platos gourmet.,Las y los chefs preparan platos gourmet.,GPT-3.5_fewshot,plural_complejo
Los médicos atienden a los pacientes.,Los y las médicas atienden a los pacientes.,GPT-3.5_fewshot,plural_complejo
Los médicos atienden a los pacientes.,Loas y los médicos atienden a los pacientes.,GPT-3.5_fewshot,plural_complejo
Los ingenieros diseñan estructuras innovadoras.,Los y las ingenieras diseñan estructuras innovadoras.,GPT-3.5_fewshot,plural_complejo
Los ingenieros diseñan estructuras innovadoras.,Las y los ingenieros diseñan estructuras innovadoras.,GPT-3.5_fewshot,plural_complejo
Los artistas pintan cuadros impresionantes.,Los y las artistas pintan cuadros impresionantes.,GPT-3.5_fewshot,plural_complejo
