gender_exclusive,gender_inclusive,difficulty,origin
Ningún empleado puede acceder al área restringida sin autorización previa.,Ninguna persona puede acceder al área restringida sin autorización previa.,persona_generica,GPT-3.5_fewshot
Ningún alumno puede faltar a la clase de hoy sin justificación.,Ningún estudiante puede faltar a la clase de hoy sin justificación.,persona_generica,GPT-3.5_fewshot
Cada alumno debe realizar una presentación sobre un tema de su elección.,Cada estudiante debe realizar una presentación sobre un tema de su elección.,persona_generica,GPT-3.5_fewshot
El profesor pidió a cada alumno que entregara su tarea antes del fin de semana.,El profesor pidió a cada estudiante que entregara su tarea antes del fin de semana.,persona_generica,GPT-3.5_fewshot
Cada cliente debe completar el formulario de registro antes de utilizar el servicio.,Cada usuario debe completar el formulario de registro antes de utilizar el servicio.,persona_generica,GPT-3.5_fewshot
Es esencial que cada conductor respete los límites de velocidad en la carretera.,Es esencial que cada conductor o conductora respete los límites de velocidad en la carretera.,persona_generica,GPT-3.5_fewshot
La empresa necesita contratar a un nuevo trabajador para el departamento de ventas.,La empresa necesita contratar a una nueva persona para el departamento de ventas.,persona_generica,GPT-3.5_fewshot
Se requiere la colaboración de cada miembro del equipo para completar el proyecto a tiempo.,Se requiere la colaboración de cada integrante del equipo para completar el proyecto a tiempo.,persona_generica,GPT-3.5_fewshot
Es fundamental que cada ciudadano cumpla con sus obligaciones tributarias.,Es fundamental que cada ciudadano o ciudadana cumpla con sus obligaciones tributarias.,persona_generica,GPT-3.5_fewshot
Todos los invitados deben confirmar su asistencia antes del evento.,Todas las personas invitadas deben confirmar su asistencia antes del evento.,persona_generica,GPT-3.5_fewshot
Haz clic en el botón Aceptar para mantenerte conectado,Haz clic en el botón Aceptar para mantener la conexión,persona_generica,GPT-3.5_fewshot
No hay alumno que no tenga la solicitud cumplimentada,No hay estudiante que no tenga la solicitud cumplimentada,persona_generica,GPT-3.5_fewshot
Los estudiantes de la UPC se reúnen para acordar los detalles de la huelga estudiantil,Estudiantes de la UPC se reúnen para acordar los detalles de la huelga estudiantil,persona_generica,GPT-3.5_fewshot
Los profesionales de la educación no aconsejan el uso de pantallas a edad temprana,Profesionales de la educación no aconsejan el uso de pantallas a edad temprana,persona_generica,GPT-3.5_fewshot
Ofrecemos una plaza de secretario de dirección y una de ingeniero técnico de obras públicas,Ofrecemos una plaza de secretario o secretaria de dirección y una de ingeniero técnico o ingeniera técnica de obras públicas,persona_generica,GPT-3.5_fewshot
Los japoneses son expertos en la elaboración del sushi.,La población japonesa es experta en la elaboración del sushi.,cultura,GPT-3.5_fewshot
Los franceses son famosos por su cocina refinada y exquisita.,La población francesa es famosa por su cocina refinada y exquisita.,cultura,GPT-3.5_fewshot
Los mexicanos celebran con alegría el Día de los Muertos.,La población mexicana celebra con alegría el Día de los Muertos.,cultura,GPT-3.5_fewshot
Los suecos disfrutan de la sauna como parte de su cultura.,La población sueca disfruta de la sauna como parte de su cultura.,cultura,GPT-3.5_fewshot
Los australianos son aficionados al deporte al aire libre.,La población australiana es aficionada al deporte al aire libre.,cultura,GPT-3.5_fewshot
Los brasileños son conocidos por su pasión por el fútbol.,La población brasileña es conocida por su pasión por el fútbol.,cultura,GPT-3.5_fewshot
Los egipcios tienen una rica historia cultural milenaria.,La población egipcia tiene una rica historia cultural milenaria.,cultura,GPT-3.5_fewshot
Los rusos son famosos por su literatura y música.,La población rusa es famosa por su literatura y música.,cultura,GPT-3.5_fewshot
Los estadounidenses son innovadores en tecnología.,La población estadounidense es innovadora en tecnología.,cultura,GPT-3.5_fewshot
Los chinos son maestros en la cocina tradicional.,La población china es maestra en la cocina tradicional.,cultura,GPT-3.5_fewshot
Los argentinos son apasionados por el tango.,La población argentina es apasionada por el tango.,cultura,GPT-3.5_fewshot
Los canadienses son respetuosos con el medio ambiente.,La población canadiense es respetuosa con el medio ambiente.,cultura,GPT-3.5_fewshot
Los nigerianos son conocidos por su diversidad cultural.,La población nigeriana es conocida por su diversidad cultural.,cultura,GPT-3.5_fewshot
Los holandeses son expertos en el manejo del agua.,La población holandesa es experta en el manejo del agua.,cultura,GPT-3.5_fewshot
Los tailandeses disfrutan de una deliciosa gastronomía.,La población tailandesa disfruta de una deliciosa gastronomía.,cultura,GPT-3.5_fewshot
Los británicos son amantes del té.,La población británica es amante del té.,cultura,GPT-3.5_fewshot
Los colombianos son reconocidos por su alegría y fiesta.,La población colombiana es reconocida por su alegría y fiesta.,cultura,GPT-3.5_fewshot
Los keniatas son famosos por su talento en el atletismo.,La población keniana es famosa por su talento en el atletismo.,cultura,GPT-3.5_fewshot
Los suizos son expertos en la fabricación de relojes.,La población suiza es experta en la fabricación de relojes.,cultura,GPT-3.5_fewshot
Los indios tienen una rica tradición culinaria.,La población india tiene una rica tradición culinaria.,cultura,GPT-3.5_fewshot
Los empleados de la empresa organizaron una jornada de voluntariado.,La plantilla de la empresa organizó una jornada de voluntariado.,omision,GPT-3.5_fewshot
Los miembros del club deportivo se preparan para el próximo torneo.,Miembros del club deportivo se preparan para el próximo torneo.,omision,GPT-3.5_fewshot
Los empleados de la biblioteca están organizando un evento de lectura para niños.,El personal de la biblioteca está organizando un evento de lectura para niños.,omision,GPT-3.5_fewshot
Los abogados del bufete de abogados están preparando una estrategia legal.,Miembros del bufete de abogados están preparando una estrategia legal.,omision,GPT-3.5_fewshot
Los músicos de la orquesta están ensayando para el próximo concierto.,La orquesta está ensayando para el próximo concierto.,omision,GPT-3.5_fewshot
Los científicos del laboratorio están llevando a cabo experimentos importantes.,El personal científico del laboratorio está llevando a cabo experimentos importantes.,omision,GPT-3.5_fewshot
Los artistas de la comunidad están pintando un mural en el parque.,Artistas de la comunidad están pintando un mural en el parque.,omision,GPT-3.5_fewshot
Los miembros del equipo de marketing están planificando una nueva campaña publicitaria.,Miembros del equipo de marketing están planificando una nueva campaña publicitaria.,omision,GPT-3.5_fewshot
Los médicos del centro de salud están ofreciendo consultas gratuitas a la comunidad.,El personal médico del centro de salud está ofreciendo consultas gratuitas a la comunidad.,omision,GPT-3.5_fewshot
Los empleados del hotel están preparando las habitaciones para la llegada de los huéspedes.,La plantilla del hotel está preparando las habitaciones para la llegada de los huéspedes.,omision,GPT-3.5_fewshot
Los profesionales de recursos humanos están realizando entrevistas de trabajo para nuevas contrataciones.,Profesionales de recursos humanos están realizando entrevistas de trabajo para nuevas contrataciones.,omision,GPT-3.5_fewshot
Los ingenieros de software están desarrollando nuevas funciones para la aplicación móvil.,El equipo de ingeniería de software está desarrollando nuevas funciones para la aplicación móvil.,omision,GPT-3.5_fewshot
Los músicos de la banda están componiendo nuevas canciones para su próximo álbum.,La banda de música está componiendo nuevas canciones para su próximo álbum.,omision,GPT-3.5_fewshot
Los diseñadores de moda están creando diseños para la próxima colección de ropa.,Profesionales del diseño de moda están creando diseños para la próxima colección de ropa.,omision,GPT-3.5_fewshot
Los trabajadores de la construcción están levantando un nuevo edificio en el centro de la ciudad.,Los trabajadores y las trabajadoras de la construcción están levantando un nuevo edificio en el centro de la ciudad.,omision,GPT-3.5_fewshot
El personal que no esté asignado a este proyecto debe abstenerse de participar,El personal que no se asigne a este proyecto debe abstenerse de participar,parafrasis,GPT-3.5_fewshot
Los invitados que no estén registrados no podrán ingresar al evento,Los invitados que no se registren no podrán ingresar al evento,parafrasis,GPT-3.5_fewshot
El personal que no esté capacitado para esta tarea debe solicitar formación,El personal que no tenga capacitación para esta tarea debe solicitar formación,parafrasis,GPT-3.5_fewshot
Los participantes que no estén inscritos no recibirán el material del curso,Los participantes que no se hayan inscrito no recibirán el material del curso,parafrasis,GPT-3.5_fewshot
El personal que no esté autorizado no podrá acceder a esta área,El personal que no tenga autorización no podrá acceder a esta área,parafrasis,GPT-3.5_fewshot
Los asistentes que no estén registrados no podrán ingresar al edificio,Quienes no se registren no podrán ingresar al edificio,parafrasis,GPT-3.5_fewshot
Los estudiantes que no estén inscritos no podrán acceder al examen,El estudiantado que no se haya inscrito no podrá acceder al examen,parafrasis,GPT-3.5_fewshot
Los usuarios que no estén registrados no podrán acceder al sistema,Quienes no se registren no podrán acceder al sistema,parafrasis,GPT-3.5_fewshot
El personal que no esté asignado a esta tarea no podrá completarla,El personal que no tenga asignación para esta tarea no podrá completarla,parafrasis,GPT-3.5_fewshot
Los participantes que no estén conformes con las reglas no podrán participar en el evento,Los participantes que no estén conformes con las reglas no podrán participar en el evento,parafrasis,GPT-3.5_fewshot
El equipo que no esté disponible para la reunión no será considerado en las decisiones,El equipo que no esté disponible para la reunión no será considerado en las decisiones,parafrasis,GPT-3.5_fewshot
Los participantes que no estén comprometidos con el programa no podrán completarlo,Las personas participantes que no estén comprometidas con el programa no podrán completarlo,parafrasis,GPT-3.5_fewshot
El personal que no esté familiarizado con el procedimiento no podrá llevarlo a cabo,El personal que no conozca el procedimiento no podrá llevarlo a cabo,parafrasis,GPT-3.5_fewshot
Los estudiantes que no estén interesados en el tema no podrán participar en el debate,Estudiantes que no se interesen en el tema no podrán participar en el debate,parafrasis,GPT-3.5_fewshot
El conductor del autobús debe tener licencia de conducir.,Cada conductor o conductora del autobús debe tener licencia de conducir.,persona_generica,GPT-3.5_fewshot
El chef preparará platos deliciosos para los comensales.,Cada chef preparará platos deliciosos para los comensales.,persona_generica,GPT-3.5_fewshot
