gendered,neutral,difficulty
Estos servicios permitirán que los administrativos trabajen con más eficacia y realicen sus actividades de manera más óptima.,Estos servicios permitirán que el personal administrativo trabaje con más eficacia y realice sus actividades de manera más óptima,dificultades_variadas
La autora de este texto es Virginia Wolf,la autora de este texto es Virginia Wolf,dificultades_variadas
"El 90% votó a favor , los otros se abstuvieron","El 90% votó a favor , el resto se abstuvo",dificultades_variadas
la autora de esta novela es Virginia Wolf,la autora de esta novela es Virginia Wolf,no_cambia
"En muchos casos , los equipos de trabajo funcionan únicamente como vehículo para que alguien pueda hacerse con el poder o mantenerse con él","En muchos casos , los equipos de trabajo funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder o mantenerse con él",dificultades_variadas
"Para ser catedrática, se necesita mucho esfuerzo","Para obtener una cátedra, se necesita mucho esfuerzo",dificultades_variadas
Habitualmente los partidos funcionan únicamente como vehículo para que alguien pueda hacerse con el poder,Habitualmente los partidos funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder,dificultades_variadas
Todos los asistentes al curso obtendrán un regalo,Cada asistente al curso obtendrá un regalo,dificultades_variadas
Ante este suceso se debe pedir consejo a las accionistas,Ante este suceso se debe pedir consejo al accionariado,dificultades_variadas
Otro campo de actuación importante han sido los hospitales privados donde se trabaja con las enfermeras codo con codo,Otro campo de actuación importante han sido los hospitales privados donde se trabaja con el personal sanitario codo con codo,dificultades_variadas
Cine de adultas,Cine adulto,dificultades_variadas
Durante su ingreso no debe tomar vitaminas que no le sean suministradas por los especialistas en este caso,Durante su ingreso no debe tomar vitaminas que no le sean suministradas por el personal experto en este caso,dificultades_variadas
las alumnas han presentado una queja hacia las profesoras en los exámenes finales. Los representantes estudiantiles son los alumnos Juanju y Javi.,el alumnado ha presentado una queja hacia el profesorado en los exámenes finales. Los representantes estudiantiles son los alumnos Juanju y Javi.,dificultades_variadas
Después de este tiempo los limpiadores y las limpiadoras retirarán todos los materiales,Después de este tiempo el personal de limpieza retirará todos los materiales,dificultades_variadas
Se han incorporado al centro dos docentes para el nuevo curso. Los formadores Mario y Roberto serán los responsables de coordinar el departamento de Lengua Castellana.,Se han incorporado al centro dos docentes para el nuevo curso. Los profesores Mario y Roberto serán los responsables de coordinar el departamento de Lengua Castellana.,dificultades_variadas
Todos los asistentes al viaje recibirán una acreditación,Cada asistente al viaje recibirá una acreditación,dificultades_variadas
Recibirán una prestación los parados,Recibirán una prestación las personas en paro,dificultades_variadas
Habitualmente los equipos de trabajo funcionan únicamente como vehículo para que alguien pueda hacerse con el control o mantenerlo,Habitualmente los equipos de trabajo funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control o mantenerlo,dificultades_variadas
los equipos de futbol funcionan únicamente como vehículo para que alguno pueda hacerse con el control o mantenelo,los equipos de futbol funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control o mantenerlo,dificultades_variadas
Todos los asistentes al viaje recibirán un dossier explicativo,Cada asistente al viaje recibirá un dossier explicativo,dificultades_variadas
los equipos de futbol funcionan únicamente como vehículo para que alguna pueda hacerse con el control o mantenerlo,los equipos de futbol funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control o mantenerlo,dificultades_variadas
Establecer un protocolo de acción para todos las profesoras de manera unívoca,Establecer un protocolo de acción para todo el profesorado de manera unívoca,dificultades_variadas
El tiempo que esté aquí no debe tomar agua que no le sea suministrada por los especialistas en su cirugía,El tiempo que esté aquí no debe tomar agua que no le sea suministrada por el personal experto en su cirugía,dificultades_variadas
Todos los asistentes al viaje obtendrán un dossier explicativo,Cada asistente al viaje obtendrá un dossier explicativo,dificultades_variadas
Otro campo de acción importante fueron los hospitales donde se trabaja con los enfermeros,Otro campo de acción importante fueron los hospitales donde se trabaja con el personal sanitario,dificultades_variadas
Habitualmente los partidos funcionan únicamente como vehículo para que alguna pueda hacerse con el control o mantenerlo,Habitualmente los partidos funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control o mantenerlo,dificultades_variadas
Curso de idioma dirigido a aquellos que quieren perfeccionar su segunda lengua,Curso de idioma dirigidos a quienes quieran perfeccionar su segunda lengua,dificultades_variadas
los aspirantes deberán comunicar inmediatamente a la Comisión cualquier modificación importante de la ciudad.,quienes aspiren deberán comunicar inmediatamente a la Comisión cualquier modificación importante de la ciudad.,dificultades_variadas
Disfruto de seáis vosotros quienes a veces me lean algo,Disfruto de que alguna persona a veces me lea algo,dificultades_variadas
Otro campo de acción importante fueron los hospitales privados donde se trabaja con los médicos,Otro campo de acción importante fueron los hospitales privados donde se trabaja con el personal médico,dificultades_variadas
Los formadores Adolfo y Germán impartirán la asignatura de Francés.,Los formadores Adolfo y Germán impartirán la asignatura de Francés.,nombres_propios
los alumnos han presentado una queja a los profesores por las notas. Los representantes estudiantiles son los alumnos Juanju y Javi.,el alumnado ha presentado una queja al profesorado por las notas. Los representantes estudiantiles son los alumnos Juanju y Javi.,dificultades_variadas
Establecer un protocolo de acción para todos las formadoras de manera unívoca,Establecer un protocolo de acción para todo el profesorado de manera unívoca,dificultades_variadas
Me gusta que seáis vosotros quienes de vez en cuando me reciten algo,Me gusta que alguien de vez en cuando me recite algo,dificultades_variadas
Los restantes vocales,El resto de vocales,dificultades_variadas
También requiere que las políticas se formulen con el colaborador de los líderes indígenas,También requiere que las políticas se formulen en colaboración con los líderes indígenas,dificultades_variadas
Aunque soy capaz de leer solo me gusta escuchar leer,Aunque soy capaz de leer por mi cuenta me gusta escuchar leer,dificultades_variadas
Me gusta que seáis vosotros quienes me lean algo,Me gusta que alguien me lea algo,dificultades_variadas
Otro campo de actuación importante fueron los hospitales privados donde se trabaja con las enfermeras codo con codo,Otro campo de actuación importante fueron los hospitales privados donde se trabaja con el personal sanitario codo con codo,dificultades_variadas
los alumnos han presentado una queja a las profesoras en los exámenes finales. Los representantes estudiantiles son los alumnos Juanju y Javi.,el alumnado ha presentado una queja al profesorado en los exámenes finales. Los representantes estudiantiles son los alumnos Juanju y Javi.,dificultades_variadas
Número de vigilantes de seguridad en la CAM que pudieran ser asignados a este servicio,Número de vigilantes de seguridad en la CAM que pudieran asignarse a este servicio,dificultades_variadas
Todos los asistentes al viaje recibirán un diploma,Cada asistente al viaje recibirá un diploma,dificultades_variadas
Estos ordenadores permitirán que los administrativos trabajen con más celeridad y realicen sus actividades de manera más óptima,Estos ordenadores permitirán que el personal administrativo trabaje con más celeridad y realice sus actividades de manera más óptima,dificultades_variadas
Todos los asistentes al curso obtendrán un dossier explicativo,Cada asistente al curso obtendrá un dossier explicativo,dificultades_variadas
Otro campo de acción importante han sido los hospitales privados donde se trabaja con el personal sanitario,Otro campo de acción importante han sido los hospitales privados donde se trabaja con el personal sanitario,no_cambia
La Madre Tierra/Pachamama es sagrada y central para los,La Madre Tierra/Pachamama es sagrada y central para los,no_cambia
Todos los ponentes al viaje contarán con un diploma,Cada ponente al viaje contará con un diploma,dificultades_variadas
