gender_exclusive,gender_inclusive,sacrebleu,difficulty,origin
Los científicos están investigando una cura para el cáncer.,La comunidad científica está investigando una cura para el cáncer.,57.067457770559976,plural,GPT-3.5_CaDi
Los científicos han descubierto una nueva especie de planta en la selva tropical.,La comunidad científica ha descubierto una nueva especie de planta en la selva tropical.,70.1205513308646,plural,GPT-3.5_CaDi
Los científicos están estudiando el efecto del cambio climático en los océanos.,La comunidad científica está estudiando el efecto del cambio climático en los océanos.,67.67781116542882,plural,GPT-3.5_CaDi
Los científicos han desarrollado una vacuna efectiva contra una enfermedad mortal.,La comunidad científica ha desarrollado una vacuna efectiva contra una enfermedad mortal.,64.79121525090147,plural,GPT-3.5_CaDi
Los científicos trabajan en colaboración con otros investigadores de todo el mundo.,La comunidad científica trabaja en colaboración con otros investigadores de todo el mundo.,67.67781116542882,plural,GPT-3.5_CaDi
Los científicos utilizan métodos rigurosos para asegurar la validez de sus resultados.,La comunidad científica utiliza métodos rigurosos para asegurar la validez de sus resultados.,67.67781116542882,plural,GPT-3.5_CaDi
Los científicos necesitan financiamiento para llevar a cabo sus investigaciones.,La comunidad científica necesita financiación para llevar a cabo sus investigaciones.,51.56626918239821,plural,GPT-3.5_CaDi
Los científicos están analizando muestras de suelo para entender la composición del sustrato.,La comunidad científica está analizando muestras de suelo para entender la composición del sustrato.,70.1205513308646,plural,GPT-3.5_CaDi
Los científicos están explorando las profundidades del espacio en busca de vida extraterrestre.,La comunidad científica está explorando las profundidades del espacio en busca de vida extraterrestre.,70.1205513308646,plural,GPT-3.5_CaDi
Los científicos son clave en el avance del conocimiento humano y el progreso de la sociedad.,La comunidad científica es clave en el avance del conocimiento humano y el progreso de la sociedad.,75.62722459724606,plural,GPT-3.5_CaDi
Las feministas luchan por la igualdad de género.,El feminismo lucha por la igualdad de género.,58.73949094699213,plural,GPT-3.5_CaDi
Los académicos se dedican a la investigación.,La academia se dedica a la investigación.,36.55552228545123,plural,GPT-3.5_CaDi
Las floristas trabajan con flores hermosas.,Las y los floristas trabajan con hermosas flores.,21.93456688254154,plural,GPT-3.5_CaDi
Las secretarias organizan la agenda diaria.,El personal de secretaría organiza la agenda diaria.,29.84745896009822,plural,GPT-3.5_CaDi
Los accionistas tienen participación en la empresa.,El accionariado tiene participación en la empresa.,51.69731539571708,plural,GPT-3.5_CaDi
Las sirvientas atienden las necesidades del hogar.,Las personas del servicio atienden las necesidades del hogar.,53.7284965911771,plural,GPT-3.5_CaDi
Los acreedores esperan el pago de la deuda.,Acreedoras y acreedores esperan el pago de la deuda.,75.98356856515926,plural,GPT-3.5_CaDi
Las empleadas de hogar realizan múltiples tareas domésticas.,El servicio doméstico realiza múltiples tareas del hogar.,11.339582221952005,plural,GPT-3.5_CaDi
Las patronistas diseñan prendas de vestir.,Las y los patronistas diseñan prendas de vestir.,61.04735835807847,plural,GPT-3.5_CaDi
Los acólitos asisten en ceremonias religiosas.,Acólitas y acólitos asisten en ceremonias religiosas.,68.037493331712,plural,GPT-3.5_CaDi
Las telefonistas manejan las llamadas telefónicas.,Las y los telefonistas manejan las llamadas telefónicas.,61.04735835807847,plural,GPT-3.5_CaDi
Los acomodadores ayudan a encontrar asientos en eventos.,El personal acomodador ayuda a encontrar asientos en eventos.,51.697315395717055,plural,GPT-3.5_CaDi
Los acompañantes brindan apoyo emocional.,Las personas acompañantes brindan apoyo emocional.,61.47881529512643,plural,GPT-3.5_CaDi
Las peluqueras cortan y peinan el cabello.,El gremio de la peluquería cortan y peinan el cabello.,46.17366309441026,plural,GPT-3.5_CaDi
Las domésticas trabajan en hogares privados.,El servicio doméstico trabaja en hogares privados.,34.57207846419409,plural,GPT-3.5_CaDi
Bienvenidos cada uno a esta celebración.,Nuestra bienvenida a cada cual en esta celebración.,20.164945583740657,plural,GPT-3.5_CaDi
Las catequistas enseñan la doctrina religiosa.,La formación en catequesis enseña la doctrina religiosa.,29.84745896009822,plural,GPT-3.5_CaDi
Los acróbatas realizan impresionantes piruetas en el circo.,Las y los acróbatas realizan impresionantes piruetas en el circo.,67.86502681586727,plural,GPT-3.5_CaDi
Los actores interpretan diversos personajes en la obra de teatro.,Actrices y actores interpretan diversos personajes en la obra de teatro.,80.70557274927978,plural,GPT-3.5_CaDi
Los adalides lideran sus tropas con valentía en la batalla.,Las y los adalides lideran sus tropas con valentía en la batalla.,73.61703354503868,plural,GPT-3.5_CaDi
Los adiestradores entrenan a los perros para diversas habilidades.,Quienes adiestran entrenan a los perros para diversas habilidades.,75.98356856515926,plural,GPT-3.5_CaDi
Los adivinos intentan predecir el futuro mediante la videncia.,Quienes adivinan intentan predecir el futuro mediante la videncia.,75.98356856515926,plural,GPT-3.5_CaDi
Los adjuntos colaboran estrechamente con los principales responsables.,El personal adjunto colabora estrechamente con los principales responsables.,51.697315395717055,plural,GPT-3.5_CaDi
Los administradores gestionan eficientemente los recursos de la empresa.,La administración gestiona eficientemente los recursos de la empresa.,63.894310424627285,plural,GPT-3.5_CaDi
Los administrativos se encargan de la tramitación de documentos.,El personal de administración se encarga de la tramitación de documentos.,43.36189090348677,plural,GPT-3.5_CaDi
Los adultos asumen responsabilidades en la vida laboral y familiar.,Las personas adultas asumen responsabilidades en la vida laboral y familiar.,71.02992180127423,plural,GPT-3.5_CaDi
Los adversarios compiten ferozmente por alcanzar la victoria.,Quienes contienden compiten ferozmente por alcanzar la victoria.,72.59795291154772,plural,GPT-3.5_CaDi
Los afectados necesitan apoyo y solidaridad en momentos difíciles.,Las personas afectadas necesitan apoyo y solidaridad en momentos difíciles.,67.86502681586727,plural,GPT-3.5_CaDi
Los aficionados disfrutan viendo partidos de fútbol en el estadio.,Las personas aficionadas disfrutan viendo partidos de fútbol en el estadio.,71.02992180127423,plural,GPT-3.5_CaDi
Los agentes de policía velan por la seguridad de la ciudadanía.,Las y los agentes de policía velan por la seguridad de la ciudadanía.,75.77395672414198,plural,GPT-3.5_CaDi
Los agrónomos estudian métodos para mejorar la producción agrícola.,Agrónomas y agrónomos estudian métodos para mejorar la producción agrícola.,78.60753021519788,plural,GPT-3.5_CaDi
Los ajedrecistas practican estrategias para ganar en el tablero.,Las y los ajedrecistas practican estrategias para ganar en el tablero.,71.02992180127423,plural,GPT-3.5_CaDi
Los albaceas cumplen con la voluntad del testador tras su fallecimiento.,Las y los albaceas cumplen con la voluntad del testador tras su fallecimiento.,75.77395672414198,plural,GPT-3.5_CaDi
Los albañiles construyen edificaciones utilizando materiales diversos.,El personal de albañilería construye edificaciones utilizando materiales diversos.,39.281465090051306,plural,GPT-3.5_CaDi
Los alcaldes dirigen los destinos de sus municipios con responsabilidad.,La alcaldía dirige los destinos del municipio con responsabilidad.,17.771669724375847,plural,GPT-3.5_CaDi
Los alguaciles velan por el orden en el pueblo.,Las y los alguaciles velan por el orden en el pueblo.,71.02992180127423,plural,GPT-3.5_CaDi
Los alpinistas escalan montañas de gran altura.,Las y los alpinistas escalan montañas de gran altura.,63.894310424627285,plural,GPT-3.5_CaDi
Los alumnos estudian para obtener buenas calificaciones.,El alumnado estudia para obtener buenas calificaciones.,51.69731539571708,plural,GPT-3.5_CaDi
Los americanistas investigan la cultura de América.,Las y los americanistas investigan la cultura de América.,63.894310424627285,plural,GPT-3.5_CaDi
Los amigos comparten momentos de alegría y tristeza.,Amigas y amigos comparten momentos de alegría y tristeza.,75.98356856515926,plural,GPT-3.5_CaDi
Los amos cuidan y protegen a sus mascotas.,Amas y amos cuidan y protegen a sus mascotas.,75.98356856515926,plural,GPT-3.5_CaDi
Los analistas examinan datos para obtener conclusiones.,Las y los analistas examinan datos para obtener conclusiones.,63.894310424627285,plural,GPT-3.5_CaDi
Los anarquistas promueven la ausencia de gobierno.,Las y los anarquistas promueven la ausencia de gobierno.,63.894310424627285,plural,GPT-3.5_CaDi
Los ancianos merecen respeto y atención en la vejez.,Las personas mayores merecen respeto y atención en la vejez.,67.86502681586727,plural,GPT-3.5_CaDi
Los anestesiólogos administran anestesia durante cirugías.,Anestesiólogas y anestesiólogos administran anestesia durante cirugías.,68.037493331712,plural,GPT-3.5_CaDi
Los anestesistas se especializan en el manejo del dolor.,Las y los anestesistas se especializan en el manejo del dolor.,71.02992180127423,plural,GPT-3.5_CaDi
Los animadores entretienen a niños con juegos y actividades.,Animadoras y animadores entretienen a niños con juegos y actividades.,78.60753021519788,plural,GPT-3.5_CaDi
Los anticuarios coleccionan y venden antigüedades.,Anticuarias y anticuarios coleccionan y venden antigüedades.,68.037493331712,plural,GPT-3.5_CaDi
