gender_exclusive,gender_inclusive,origin,difficulty
Inspectoras y Jefes de Obra concluyeron el proyecto a tiempo.,El equipo de Obra concluyó el proyecto a tiempo.,guia_TAI,colectivos
La inspector relevo el territorio.,La inspectora relevo el territorio.,guia_TAI,feminizar_profesiones
"Trabajamos en un espacio de cuidado, enseñanza y crianza para los hijos de los trabajadores de TAI.","Trabajamos en un espacio de cuidado, enseñanza y crianza para hijas e hijos de las trabajadoras y los trabajadores.",guia_TAI,plural_complejo
Los empleados cuentan con este beneficio disponible.,Las empleadas y los empleados cuentan con este beneficio disponible.,guia_TAI,plural_complejo
Los empleados cuentan con este beneficio disponible.,Las personas empleadas cuentan con este beneficio disponible.,guia_TAI,persona_generica
Los alumnos deberán presentar formulario completo para el ingreso a obra.,El alumnado deberá presentar formulario completo para el ingreso a obra.,guia_TAI,plural_neutro
Decidieron algunos Gerentes del comité.,Decidieron autoridades del comité.,guia_TAI,colectivos
Los coordinadores participaron de la capacitación.,El equipo de coordinación participo de la capacitación.,guia_TAI,colectivos
Los trabajadores modifican sus tareas.,El personal modifica sus tareas.,guia_TAI,plural_complejo
Derechos del hombre,Derechos de las personas,guia_TAI,persona_generica
Todos los arquitectos,Los profesionales de la arquitectura,guia_TAI,colectivos
Todos los ingenieros,Los profesionales de la ingeniería,guia_TAI,colectivos
Todos los abogados,Los profesionales de la abogacía,guia_TAI,colectivos
Todos los administrativos,Las personas que desempeñan tareas administrativas,guia_TAI,colectivos
Todos los cuidadores,Las personas que desempeñan tareas de cuidado,guia_TAI,colectivos
Todos los relevadores,Las personas que desempeñan tareas de relevo,guia_TAI,colectivos
Todos los coordinadores,Las personas que desempeñan tareas de coordinación,guia_TAI,colectivos
El acceso a derechos es básico para el hombre.,El acceso a derechos es básicos para el ser humano.,guia_CONICET,persona_generica
El acceso a derechos es básico para el hombre.,El acceso a derechos es básico para las personas.,guia_CONICET,persona_generica
Los investigadores de los diferentes institutos.,Investigadores de diferentes institutos.,guia_CONICET,omision
Los que firman manifiestan haber leído el acta.,"Quienes firman abajo, manifiestan haber leído el acta.",guia_CONICET,persona_generica
Los trabajadores,El personal,guia_CONICET,plural_complejo
Los miembros de la academia,La comunidad académica,guia_CONICET,colectivos
Dirigido a los estudiantes,Dirigido a cualquier estudiante,guia_CONICET,persona_generica
Los directores,La dirección,guia_CONICET,colectivos
