gender_exclusive,gender_inclusive,origin,difficulty
La música y la danza de los vascos reflejan su rica cultura,La música y la danza vasca reflejan su rica cultura,GPT-3.5_fewshot,culturas
La gastronomía y el folclore de los andaluces son famosos en todo el país,La gastronomía y el folclore andaluz son famosos en todo el país,GPT-3.5_fewshot,culturas
La literatura y la poesía de los catalanes han dejado una huella duradera en la historia,La literatura y la poesía catalana han dejado una huella duradera en la historia,GPT-3.5_fewshot,culturas
Las festividades y las ceremonias de los japoneses reflejan su profundo respeto por la naturaleza,Las festividades y las ceremonias japonesas reflejan su profundo respeto por la naturaleza,GPT-3.5_fewshot,culturas
La gastronomía y la música de los cubanos son conocidas en todo el mundo por su sabor y ritmo,La gastronomía y la música cubanas son conocidas en todo el mundo por su sabor y ritmo,GPT-3.5_fewshot,culturas
La arquitectura y el arte de los egipcios muestran la grandeza de su civilización antigua,La arquitectura y el arte egipcios muestran la grandeza de su civilización antigua,GPT-3.5_fewshot,culturas
La moda y el diseño de los italianos son reconocidos por su elegancia y estilo,La moda y el diseño italianos son reconocidos por su elegancia y estilo,GPT-3.5_fewshot,culturas
La espiritualidad y las prácticas religiosas de los hindúes son variadas y profundamente arraigadas en su cultura,La espiritualidad y las prácticas religiosas hindúes son variadas y profundamente arraigadas en su cultura,GPT-3.5_fewshot,culturas
La arquitectura antigua de los griegos es fascinante,La arquitectura antigua griega es fascinante,GPT-3.5_fewshot,culturas
Los platos típicos de los mexicanos son muy sabrosos,Los platos típicos mexicanos son muy sabrosos,GPT-3.5_fewshot,culturas
La música popular de los brasileros es muy diversa,La música popular brasileña es muy diversa,GPT-3.5_fewshot,culturas
La literatura clásica de los italianos es reconocida a nivel mundial,La literatura clásica italiana es reconocida a nivel mundial,GPT-3.5_fewshot,culturas
Los bailes tradicionales de los argentinos son muy animados,Los bailes tradicionales argentinos son muy animados,GPT-3.5_fewshot,culturas
La moda contemporánea de los franceses es muy influyente,La moda contemporánea francesa es muy influyente,GPT-3.5_fewshot,culturas
Las festividades religiosas de los filipinos son muy coloridas,Las festividades religiosas filipinas son muy coloridas,GPT-3.5_fewshot,culturas
Los deportes populares de los españoles son muy emocionantes,Los deportes populares españoles son muy emocionantes,GPT-3.5_fewshot,culturas
La arquitectura moderna de los japoneses es impresionante,La arquitectura moderna japonesa es impresionante,GPT-3.5_fewshot,culturas
Los rituales ceremoniales de los indígenas son muy significativos,Los rituales ceremoniales indígenas son muy significativos,GPT-3.5_fewshot,culturas
La moda y el diseño de los parisinos son vanguardistas y sofisticados,La moda y el diseño parisino son vanguardistas y sofisticados,GPT-3.5_fewshot,culturas
La agricultura y la ganadería de los argentinos son fundamentales para su economía,La agricultura y la ganadería argentina son fundamentales para su economía,GPT-3.5_fewshot,culturas
La tecnología y la innovación de los coreanos son líderes en el mercado global,La tecnología y la innovación coreana son líderes en el mercado global,GPT-3.5_fewshot,culturas
La arquitectura de los madrileños refleja su historia diversa,La arquitectura madrileña refleja su historia diversa,GPT-3.5_fewshot,culturas
La artesanía de los canarios es muy colorida y variada,La artesanía canaria es muy colorida y variada,GPT-3.5_fewshot,culturas
El clima mediterráneo de los valencianos favorece la agricultura,El clima mediterráneo valenciano favorece la agricultura,GPT-3.5_fewshot,culturas
La literatura de los extremeños es rica en folclore,La literatura extremeña es rica en folclore,GPT-3.5_fewshot,culturas
Los trajes típicos de las aragonesas son elegantes y detallados,Los trajes típicos aragoneses son elegantes y detallados,GPT-3.5_fewshot,culturas
Las festividades de los castellanos son muy celebradas en todo el país,Las festividades castellanas son muy celebradas en todo el país,GPT-3.5_fewshot,culturas
El paisaje montañoso de los asturianos es impresionante,El paisaje montañoso asturiano es impresionante,GPT-3.5_fewshot,culturas
Los bomberos combaten incendios,El personal de bomberos combate incendios,GPT-3.5_fewshot,plural_complejo
Los médicos salvan vidas,El personal médico salva vidas,GPT-3.5_fewshot,plural_complejo
Los ingenieros diseñan puentes,El equipo de ingeniería diseña puentes,GPT-3.5_fewshot,plural_complejo
Los abogados defienden a sus clientes,Los profesionales del derecho defienden a sus clientes,GPT-3.5_fewshot,plural_complejo
Los músicos tocan instrumentos,El grupo musical toca instrumentos,GPT-3.5_fewshot,plural_complejo
Los escritores escriben novelas,Los y las escritoras escriben novelas,GPT-3.5_fewshot,plural_complejo
la madre de Gonzalo es ingeniera,la madre de Gonzalo es ingeniera,human_combinatory,feminizar_profesiones
la prima de Marina es médico,la prima de Marina es médica,human_combinatory,feminizar_profesiones
la mujer de mi abuelo era abogado,la mujer de mi abuelo era abogada,human_combinatory,feminizar_profesiones
Lorena trabaja de gerente,Lorena trabaja de gerente,human_combinatory,feminizar_profesiones
la mujer de mi amigo está trabajando de programador,la mujer de mi amigo está trabajando de programadora,human_combinatory,feminizar_profesiones
la amiga de mi prima trabaja de contador,la amiga de mi prima trabaja de contable,human_combinatory,feminizar_profesiones
Raquel es administrador,Raquel es administradora,human_combinatory,feminizar_profesiones
Alejandra está trabajando de policía,Alejandra está trabajando de policía,human_combinatory,feminizar_profesiones
Adriana es ejecutivo de ventas,Adriana es ejecutiva de ventas,human_combinatory,feminizar_profesiones
la cuñada de Isabel está trabajando de electricista,la cuñada de Isabel está trabajando de electricista,human_combinatory,feminizar_profesiones
la tía de mi cuñada Sofía está trabajando de mecánico,la tía de mi cuñada Sofía está trabajando de mecánica,human_combinatory,feminizar_profesiones
Diana está trabajando de carpintero,Diana está trabajando de carpintera,human_combinatory,feminizar_profesiones
la novia de Roberto es fontanero,la novia de Roberto es fontanera,human_combinatory,feminizar_profesiones
mi abuela es chef,mi abuela es chef,human_combinatory,feminizar_profesiones
la tía de Ángel trabaja de periodista,la tía de Ángel trabaja de periodista,human_combinatory,feminizar_profesiones
la hermana de Andrés era fotógrafo,la hermana de Andrés era fotógrafa,human_combinatory,feminizar_profesiones
la tía de mi amiga es bombero,la tía de mi amiga es bombera,human_combinatory,feminizar_profesiones
Eva era actor,Eva era actriz,human_combinatory,feminizar_profesiones
la hermana de Lidia es muy buena cantante,la hermana de Lidia es muy buena cantante,human_combinatory,feminizar_profesiones
Rosa es una gran escritor,Rosa es una gran escritora,human_combinatory,feminizar_profesiones
la cuñada de mi primo es muy buena artista plástico,la cuñada de mi primo es muy buena artista plástica,human_combinatory,feminizar_profesiones
la madre de Pablo es una gran economista,la madre de Pablo es una gran economista,human_combinatory,feminizar_profesiones
Clara era una fantástica piloto,Clara era una fantástica piloto,human_combinatory,feminizar_profesiones
