,masculino_singular,femenino_singular,plural_genérico,plural_masculino
0,Diputado,Diputada,Miembros del Congreso,Diputados
1,Senador,Senadora,Miembros del Senado,Senadores
2,El portavoz,La portavoz,portavocía,Los portavoces
3,(El) portavoz adjunto,(La) portavoz adjunta,(La) Portavocía adjunta,Los portavoces adjuntos
4,Presidente,Presidenta,Presidencia,Presidentes
5,Vicepresidente,Vicepresidenta,Vicepresidencia,Vicepresidentes
6,Secretario,Secretaria,"Secretaría (tiene otro significado, habrá que atender especialmente al contexto)",Secretarios
7,Letrado,Letrada,,Letrados
8,Letrado jefe,Letrada jefa,,Letrados jefes
9,Archivero bibliotecario,Archivera bibliotecaria,Documentalistas,Archiveros bibliotecarios
10,Asesor facultativo,Asesora facultativa,,Asesores facultativos
11,Técnico administrativo,Técnica administrativa,Personal del cuerpo técnico-administrativo,Técnicos administrativos
12,Redactor,Redactora,Equipo redactor,Redactores
13,Administrativo,Administrativa,Personal del cuerpo administrativo,Administrativos
14,Director,Directora,Dirección – Direcciones,Directores
15,Jefe de (Departamento – Servicio – Área – Proyecto – Unidad),Jefa de (Departamento – Servicio – Área – Proyecto – Unidad),Jefatura de (Departamento – Servicio – Área – Unidad),Jefes de Departamento – Servicio – Área – Proyecto – Unidad
16,Redactor jefe,Redactora jefa,Jefatura de la redacción,Redactores jefes
17,(El) responsable de (Área – Secretaría),(la) responsable de (Área – Secretaría),Responsabilidad de (Área – Secretaría) - Grupo responsable de (Área - Secretaría),Los responsables de Área – Secretaría
18,Administrador,Administradora,,Administradores
19,Portero,Portera,Portería (Puede tener problemas de ambigüedad),Porteros
20,Encargado,Encargada,Personas encargadas,Encargados
21,(El) ayudante,(La) ayudante,,Los ayudantes
22,(El) garajista,(La) garajista,Personal del garaje (o de la Unidad de garaje),Los garajistas
23,(El) funcionario,(La) funcionaria,Funcionariado - personal funcionario,Los funcionarios
24,(El) analista,(La) analista,,Los analistas
25,(El) programador,(La) programadora,,Los programadores
26,(El) técnico (superior – intermedia – auxiliar),(La) técnica (superior – intermedia – auxiliar),Personal laboral técnico (superior – intermedio –auxiliar),Los técnicos (superiores – intermedios – auxiliares)
27,Médico,Médica,Servicio médico,Médicos
28,Enfermero,Enfermera,Personal de enfermería,Enfermeros
29,(El) guía,(La) guía,Servicio de guías,Los guías
30,(El) auxiliar de (informática – audiovisuales),(La) auxiliar de (informática – audiovisuales),Personal auxiliar de (informática – audiovisuales),Los auxiliares de informática – audiovisuales
31,(El) electricista,(La) electricista,,Los electricistas
32,(El) motorista,(La) motorista,,Los motoristas
33,(El) carpintero,(La) carpintera,,Los carpinteros
34,(El) fontanero,(La) fontanera,,Los fontaneros
35,(El) cerrajero,(La) cerrajera,,Los cerrajeros
36,(El) pintor,(La) pintora,,Los pintores
37,(El) jardinero,(La) jardinera,,Los jardineros
38,(El) policía,(La) Policía,,Los policías
39,(El) (sub) inspector,(La) (sub) inspectora,(Sub) inspección,Los (sub) inspectores
40,(El) inspector jefe,(La) inspectora jefa,Jefatura de inspección,Los inspectores jefes
41,(El) Comisario,(La) Comisaria,Comisariado,Los Comisarios
42,(El) asesor,(La) asesora,Asesoría - Personal de asesoría,Los asesores
43,(El) jefe de prensa,(La) jefa de prensa,Responsables de prensa,Los jefes de prensa
44,(El) empleado del grupo parlamentario,(La) empleada del grupo parlamentario,Personal contratado por los grupos parlamentarios,Los empleados del grupo parlamentario
