gender_exclusive,gender_inclusive,origin,difficulty
Los alumnos asistieron a clases regularmente,El alumnado asistió a clases regularmente,GPT-3.5_fewshot,plural_neutro
Los alumnos organizaron un evento cultural,El alumnado organizó un evento cultural,GPT-3.5_fewshot,plural_neutro
Los alumnos destacaron en sus estudios,El alumnado destacó en sus estudios,GPT-3.5_fewshot,plural_neutro
Los alumnos recibieron reconocimiento por su trabajo,El alumnado recibió reconocimiento por su trabajo,GPT-3.5_fewshot,plural_neutro
Los ciudadanos ejercieron su derecho al voto,La ciudadanía ejerció su derecho al voto,GPT-3.5_fewshot,plural_neutro
Los ciudadanos protestaron por mejores servicios públicos,La ciudadanía protestó por mejores servicios públicos,GPT-3.5_fewshot,plural_neutro
Los ciudadanos contribuyeron al desarrollo de la comunidad,La ciudadanía contribuyó al desarrollo de la comunidad,GPT-3.5_fewshot,plural_neutro
Los ciudadanos participaron en la manifestación,La ciudadanía participó en la manifestación,GPT-3.5_fewshot,plural_neutro
Los coordinadores organizaron el evento con éxito,La coordinación organizó el evento con éxito,GPT-3.5_fewshot,plural_neutro
Los coordinadores dirigieron el proyecto de manera eficiente,La coordinación dirigió el proyecto de manera eficiente,GPT-3.5_fewshot,plural_neutro
Los coordinadores coordinaron las actividades del equipo,La coordinación coordinó las actividades del equipo,GPT-3.5_fewshot,plural_neutro
Los coordinadores planificaron el cronograma del proyecto,La coordinación planificó el cronograma del proyecto,GPT-3.5_fewshot,plural_neutro
Los directores tomaron decisiones importantes para la escuela,La dirección tomó decisiones importantes para la escuela,GPT-3.5_fewshot,plural_neutro
Los directores supervisaron el rendimiento del personal,La dirección supervisó el rendimiento del personal,GPT-3.5_fewshot,plural_neutro
Los directores establecieron las políticas de la institución,La dirección estableció las políticas de la institución,GPT-3.5_fewshot,plural_neutro
Los directores lideraron la implementación del nuevo programa,La dirección lideró la implementación del nuevo programa,GPT-3.5_fewshot,plural_neutro
Los asesores brindaron orientación a los empleados nuevos,La asesoría brindó orientación a los empleados nuevos,GPT-3.5_fewshot,plural_neutro
Los asesores ayudaron a resolver problemas de gestión,La asesoría ayudó a resolver problemas de gestión,GPT-3.5_fewshot,plural_neutro
Los asesores proporcionaron asistencia técnica a los clientes,La asesoría proporcionó asistencia técnica a los clientes,GPT-3.5_fewshot,plural_neutro
Los asesores ofrecieron recomendaciones para mejorar el rendimiento,La asesoría ofreció recomendaciones para mejorar el rendimiento,GPT-3.5_fewshot,plural_neutro
Los legisladores debatieron la reforma fiscal,La legislación debatió la reforma fiscal,GPT-3.5_fewshot,plural_neutro
Los legisladores aprobaron nuevas leyes de medio ambiente,La legislación aprobó nuevas leyes de medio ambiente,GPT-3.5_fewshot,plural_neutro
Los legisladores promovieron políticas de inclusión social,La legislación promovió políticas de inclusión social,GPT-3.5_fewshot,plural_neutro
Los legisladores revisaron el código penal,La legislación revisó el código penal,GPT-3.5_fewshot,plural_neutro
Los senadores discutieron sobre la seguridad nacional,El Senado discutió sobre la seguridad nacional,GPT-3.5_fewshot,plural_neutro
Los senadores votaron en contra de la reforma fiscal,El Senado votó en contra de la reforma fiscal,GPT-3.5_fewshot,plural_neutro
Los senadores investigaron casos de corrupción,El Senado investigó casos de corrupción,GPT-3.5_fewshot,plural_neutro
Los senadores aprobaron el tratado internacional,El Senado aprobó el tratado internacional,GPT-3.5_fewshot,plural_neutro
Los organizadores coordinaron la logística del evento,La organización coordinó la logística del evento,GPT-3.5_fewshot,plural_neutro
Los organizadores planificaron la conferencia anual,La organización planificó la conferencia anual,GPT-3.5_fewshot,plural_neutro
Los organizadores reclutaron voluntarios para el evento,La organización reclutó voluntarios para el evento,GPT-3.5_fewshot,plural_neutro
