gender_exclusive,gender_inclusive,difficulty,origin
Podrán actuar los artistas que hayan presentado la solicitud,Podrá actuar cualquier artista que haya presentado la solicitud,parafrasis,GPT-3.5_fs_multiplication
Deberán asistir los estudiantes que se hayan comprometido,Deberá asistir cualquier estudiante que se haya comprometido,parafrasis,GPT-3.5_fs_multiplication
Deberán participar los docentes que hayan presentado la solicitud,Deberá participar cualquier docente que haya presentado la solicitud,parafrasis,GPT-3.5_fs_multiplication
Podrán presentar su candidatura los accionistas que lo deseen,Podrá presentar su candidatura cualquier accionista que lo desee,parafrasis,GPT-3.5_fs_multiplication
Deberán participar los acróbatas que cumplan con los requisitos.,Deberá participar cualquier acróbata que cumpla con los requisitos.,parafrasis,GPT-3.5_fs_multiplication
Podrán actuar los activistas que hayan presentado la solicitud,Podrá actuar cualquier activista que haya presentado la solicitud,parafrasis,GPT-3.5_fs_multiplication
Podrán trabajar los astronautas que quieran,Podrá trabajar cualquier astronauta que quiera,parafrasis,GPT-3.5_fs_multiplication
Podrán trabajar los albañiles que hayan presentado la solicitud,Podrá trabajar cualquier albañil que haya presentado la solicitud,parafrasis,GPT-3.5_fs_multiplication
Podrán trabajar los cantantes que cumplan con los requisitos.,Podrá trabajar cualquier cantante que cumpla con los requisitos.,parafrasis,GPT-3.5_fs_multiplication
Deberán participar los detectives que se hayan comprometido,Deberá participar cualquier detective que se haya comprometido,parafrasis,GPT-3.5_fs_multiplication
Deberán asistir los concursantes que quieran,Deberá asistir cualquier concursante que quiera,parafrasis,GPT-3.5_fs_multiplication
Deberán participar los artistas que se presenten,Deberá participar cualquier artista que se presente,parafrasis,GPT-3.5_fs_multiplication
Podrán trabajar los estudiantes que se presenten,Podrá trabajar cualquier estudiante que se presente,parafrasis,GPT-3.5_fs_multiplication
Podrán trabajar los docentes que hayan presentado la solicitud,Podrá trabajar cualquier docente que haya presentado la solicitud,parafrasis,GPT-3.5_fs_multiplication
Podrán trabajar los accionistas que quieran,Podrá trabajar cualquier accionista que quiera,parafrasis,GPT-3.5_fs_multiplication
Podrán actuar los acróbatas que se hayan comprometido,Podrá actuar cualquier acróbata que se haya comprometido,parafrasis,GPT-3.5_fs_multiplication
Podrán presentar su candidatura los activistas que lo deseen,Podrá presentar su candidatura cualquier activista que lo desee,parafrasis,GPT-3.5_fs_multiplication
Deberán asistir los astronautas que se presenten,Deberá asistir cualquier astronauta que se presente,parafrasis,GPT-3.5_fs_multiplication
Deberán participar los albañiles que hayan presentado la solicitud,Deberá participar cualquier albañil que haya presentado la solicitud,parafrasis,GPT-3.5_fs_multiplication
Podrán trabajar los cantantes que se presenten,Podrá trabajar cualquier cantante que se presente,parafrasis,GPT-3.5_fs_multiplication
Podrán presentar su candidatura los detectives que quieran,Podrá presentar su candidatura cualquier detective que quiera,parafrasis,GPT-3.5_fs_multiplication
Podrán trabajar los concursantes que se hayan comprometido,Podrá trabajar cualquier concursante que se haya comprometido,parafrasis,GPT-3.5_fs_multiplication
Harán su actuación distintos artistas del país,Harán su actuación artistas diferentes del país,parafrasis,GPT-3.5_fs_multiplication
Harán su actuación distintos estudiantes del concurso,Harán su actuación estudiantes diferentes del concurso,parafrasis,GPT-3.5_fs_multiplication
Llegarán a la final distintos docentes del país,Llegarán a la final docentes diferentes del país,parafrasis,GPT-3.5_fs_multiplication
Llegarán a la final distintos accionistas del país,Llegarán a la final accionistas diferentes del país,parafrasis,GPT-3.5_fs_multiplication
Harán su actuación distintos acróbatas del concurso,Harán su actuación acróbatas diferentes del concurso,parafrasis,GPT-3.5_fs_multiplication
Llevarán a cabo su presentación distintos activistas de la localidad,Llevarán a cabo su presentación activistas diferentes de la localidad,parafrasis,GPT-3.5_fs_multiplication
Llegarán a la final distintos astronautas del concurso,Llegarán a la final astronautas diferentes del concurso,parafrasis,GPT-3.5_fs_multiplication
Llegarán a la final distintos albañiles del país,Llegarán a la final albañiles diferentes del país,parafrasis,GPT-3.5_fs_multiplication
Se presentarán distintos cantantes del concurso,Se presentarán cantantes diferentes del concurso,parafrasis,GPT-3.5_fs_multiplication
Se presentarán distintos detectives de la provincia,Se presentarán detectives diferentes de la provincia,parafrasis,GPT-3.5_fs_multiplication
Llegarán a la final distintos concursantes del concurso,Llegarán a la final concursantes diferentes del concurso,parafrasis,GPT-3.5_fs_multiplication
Harán su actuación distintos artistas de la ciudad,Harán su actuación artistas diferentes de la ciudad,parafrasis,GPT-3.5_fs_multiplication
Llevarán a cabo su presentación distintos estudiantes del país,Llevarán a cabo su presentación estudiantes diferentes del país,parafrasis,GPT-3.5_fs_multiplication
Se presentarán distintos docentes del municipio,Se presentarán docentes diferentes del municipio,parafrasis,GPT-3.5_fs_multiplication
Se presentarán distintos accionistas de la provincia,Se presentarán accionistas diferentes de la provincia,parafrasis,GPT-3.5_fs_multiplication
Llevarán a cabo su presentación distintos acróbatas de la ciudad,Llevarán a cabo su presentación acróbatas diferentes de la ciudad,parafrasis,GPT-3.5_fs_multiplication
Llegarán a la final distintos activistas de la ciudad,Llegarán a la final activistas diferentes de la ciudad,parafrasis,GPT-3.5_fs_multiplication
Aparecerán distintos astronautas de la localidad,Aparecerán astronautas diferentes de la localidad,parafrasis,GPT-3.5_fs_multiplication
Se presentarán distintos albañiles del país,Se presentarán albañiles diferentes del país,parafrasis,GPT-3.5_fs_multiplication
Llegarán a la final distintos cantantes de la provincia,Llegarán a la final cantantes diferentes de la provincia,parafrasis,GPT-3.5_fs_multiplication
Llevarán a cabo su presentación distintos detectives de la localidad,Llevarán a cabo su presentación detectives diferentes de la localidad,parafrasis,GPT-3.5_fs_multiplication
Harán su actuación distintos concursantes del municipio,Harán su actuación concursantes diferentes del municipio,parafrasis,GPT-3.5_fs_multiplication
Todos los ciudadanos tienen derecho a votar en las elecciones.,Cada ciudadano tiene derecho a votar en las elecciones.,parafrasis,GPT-3.5_fs_multiplication
Se invitará a los asistentes a participar en el debate.,Se invitará a cada asistente a participar en el debate.,parafrasis,GPT-3.5_fs_multiplication
El comité seleccionará a los representantes de cada departamento.,El comité seleccionará a representantes de cada departamento.,parafrasis,GPT-3.5_fs_multiplication
Los empleados deben completar su formulario de evaluación antes del plazo.,Cada empleado debe completar su formulario de evaluación antes del plazo.,parafrasis,GPT-3.5_fs_multiplication
