,gender_exclusive,gender_inclusive,origin,difficulty
0,El cambio de sexo es un proceso importante para muchas personas transexuales.,La transición de género es un proceso importante para muchas personas transexuales.,GPT-3.5_fewshot,terminologia
1,Los transexuales merecen respeto y apoyo en su camino hacia la autenticidad.,Las personas transexuales merecen respeto y apoyo en su camino hacia la autenticidad.,GPT-3.5_fewshot,terminologia
2,Es crucial crear espacios inclusivos para los transexuales en la sociedad.,Es crucial crear espacios inclusivos para las personas transexuales en la sociedad.,GPT-3.5_fewshot,terminologia
3,La comunidad transexual lucha por la igualdad de derechos y oportunidades.,La comunidad de personas transexuales lucha por la igualdad de derechos y oportunidades.,GPT-3.5_fewshot,terminologia
4,Los discapacitados tienen derecho a la accesibilidad y la igualdad de oportunidades.,Las personas con discapacidad tienen derecho a la accesibilidad y la igualdad de oportunidades.,GPT-3.5_fewshot,terminologia
5,Es fundamental eliminar las barreras arquitectónicas para los discapacitados.,Es fundamental eliminar las barreras arquitectónicas para las personas con discapacidad.,GPT-3.5_fewshot,terminologia
6,La sociedad debe trabajar para eliminar el estigma asociado con la discapacidad.,La sociedad debe trabajar para eliminar el estigma asociado con la discapacidad.,GPT-3.5_fewshot,terminologia
7,Es importante ofrecer apoyo emocional a los discapacitados y sus familias.,Es importante ofrecer apoyo emocional a las personas con discapacidad y sus familias.,GPT-3.5_fewshot,terminologia
8,Los inmigrantes ilegales enfrentan numerosos desafíos al buscar una vida mejor.,Las personas extranjeras en situación administrativa irregular enfrentan numerosos desafíos al buscar una vida mejor.,GPT-3.5_fewshot,terminologia
9,La situación de los inmigrantes ilegales es compleja y requiere soluciones humanitarias.,La situación de las personas extranjeras en situación administrativa irregular es compleja y requiere soluciones humanitarias.,GPT-3.5_fewshot,terminologia
10,Es necesario abordar las causas subyacentes de la migración ilegal para encontrar soluciones duraderas.,Es necesario abordar las causas subyacentes de la migración ilegal para encontrar soluciones duraderas.,GPT-3.5_fewshot,terminologia
11,"Los derechos humanos deben proteger a todos, incluidos los inmigrantes ilegales.","Los derechos humanos deben proteger a todos, incluidas las personas sin papeles.",GPT-3.5_fewshot,terminologia
