gender_exclusive,gender_inclusive,origin,difficulty
Es importante revisar cuidadosamente la lista de invitados para asegurarnos de que no estén incluidos en ella los nombres de personas no autorizadas.,Es importante revisar cuidadosamente la lista de invitados para asegurarnos de que no figuren en ella los nombres de personas no autorizadas.,GPT-3.5_fewshot,persona_generica
"Para garantizar la imparcialidad del proceso de selección, cualquier candidato con conflictos de interés no podrá ser declarado apto para el puesto.","Para garantizar la imparcialidad del proceso de selección, cualquier candidatura con conflictos de interés no podrá aceptarse para el puesto.",GPT-3.5_fewshot,persona_generica
"Antes de proceder con la votación, debemos asegurarnos de que todos los candidatos cumplan con los requisitos establecidos y que ninguno esté incluido en la lista de exclusiones.","Antes de proceder con la votación, debemos asegurarnos de que todas las candidaturas cumplan con los requisitos establecidos y que ninguna figure en la lista de exclusiones.",GPT-3.5_fewshot,persona_generica
"En el examen médico, si se detecta algún problema de salud grave, el paciente no podrá ser declarado apto para participar en la competencia deportiva.","En el examen médico, si se detecta algún problema de salud grave, el paciente no podrá aceptarse para participar en la competencia deportiva.",GPT-3.5_fewshot,persona_generica
Los nuevos empleados están capacitados para utilizar el software de gestión de proyectos.,Las nuevas incorporaciones son capaces de utilizar el software de gestión de proyectos.,GPT-3.5_fewshot,persona_generica
Los socorristas están capacitados para brindar primeros auxilios en situaciones de emergencia.,El personal de rescate es capaz de brindar primeros auxilios en situaciones de emergencia.,GPT-3.5_fewshot,persona_generica
Los ingenieros están capacitados para diseñar y supervisar la construcción de estructuras civiles.,Las personas con formación en ingeniería son capaces de diseñar y supervisar la construcción de estructuras civiles.,GPT-3.5_fewshot,persona_generica
Unos dos mil empleados fueron afectados por la reducción de personal.,Aproximadamente dos mil empleados fueron afectados por la reducción de personal.,GPT-3.5_fewshot,parafrasis
Unos cincuenta voluntarios participaron en la limpieza del parque.,Aproximadamente cincuenta voluntarios participaron en la limpieza del parque.,GPT-3.5_fewshot,parafrasis
Unos trescientos estudiantes asistieron a la conferencia sobre cambio climático.,Aproximadamente trescientos estudiantes asistieron a la conferencia sobre cambio climático.,GPT-3.5_fewshot,parafrasis
Unos veinte invitados confirmaron su asistencia a la reunión.,Aproximadamente veinte invitados confirmaron su asistencia a la reunión.,GPT-3.5_fewshot,parafrasis
Unos diez trabajadores se presentaron voluntarios para el proyecto.,Aproximadamente diez trabajadores se presentaron voluntarios para el proyecto.,GPT-3.5_fewshot,parafrasis
"Según han denunciado muchos expertos, el cambio climático es una amenaza global.","Según ha denunciado multitud de especialistas, el cambio climático es una amenaza global.",GPT-3.5_fewshot,parafrasis
"Según han denunciado muchos expertos, la contaminación del aire está alcanzando niveles críticos.","Según han denunciado gran cantidad de especialistas, la contaminación del aire está alcanzando niveles críticos.",GPT-3.5_fewshot,parafrasis
"Según han señalado muchos expertos, la inteligencia artificial transformará nuestras vidas.","Según ha señalado multitud de especialistas, la inteligencia artificial transformará nuestras vidas.",GPT-3.5_fewshot,parafrasis
"Según han advertido muchos expertos, la deforestación está causando graves daños al medio ambiente.","Según han advertido gran cantidad de especialistas, la deforestación está causando graves daños al medio ambiente.",GPT-3.5_fewshot,parafrasis
"Según han estimado muchos expertos, la economía mundial enfrentará desafíos significativos en el próximo año.","Según han estimado multitud de especialistas, la economía mundial enfrentará desafíos significativos en el próximo año.",GPT-3.5_fewshot,parafrasis
"Según han pronosticado muchos expertos, la próxima década será crucial para abordar el cambio climático.","Según han pronosticado gran cantidad de especialistas, la próxima década será crucial para abordar el cambio climático.",GPT-3.5_fewshot,parafrasis
