,gendered,neutral,correct
13,Estos servicios permitirán que los administrativos trabaje con más eficacia y realice sus actividades de manera más óptima,Estos servicios permitirán que el personal administrativo trabaje con más eficacia y realice sus actividades de manera más óptima,False
36,el autor de este texto es Virginia Wolf,la autoría de este texto es Virginia Wolf,False
41,"El 90% votó a favor , los otros se abstuvo","El 90% votó a favor , el resto se abstuvo",False
56,la autoría de esta novela es Virginia Wolf,la autoría de esta novela es Virginia Wolf,False
61,"En muchos casos , los equipos de trabajo funcionan únicamente como vehículo para que alguna pueda hacerse con el poder o mantenerse con él","En muchos casos , los equipos de trabajo funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder o mantenerse con él",False
74,Para ser catedrática mucho esfuerzo,Para obtener una cátedra mucho esfuerzo,False
89,Habitualmente los partidos funcionan únicamente como vehículo para que alguna pueda hacerse con el poder,Habitualmente los partidos funcionan únicamente como vehículo para que cierta persona pueda hacerse con el poder,False
96,Todos los asistentes al curso obtendrá un regalo,Cada asistente al curso obtendrá un regalo,False
102,Ante este suceso se debe pedir consejo las accionistas,Ante este suceso se debe pedir consejo al accionariado,False
118,Otro campo de actuación importante han sido los hospitales privados dónde se trabaja con las enfermeras codo con codo,Otro campo de actuación importante han sido los hospitales privados dónde se trabaja con el personal sanitario codo con codo,False
126,Cine de adultas,Cine adulto,False
127,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por los especialistas en este caso,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por el personal experto en este caso,False
129,las alumnas han presentado una queja por las profesoras en los exámenes finales. Los representantes estudiantiles son los alumnos Juanju y Javi.,el alumnado ha presentado una queja por el profesorado en los exámenes finales. Los representantes estudiantiles son los alumnos Juanju y Javi.,False
130,"Después de este tiempo los limpiadores , las limpiadoras retirará todos los materiales",Después de este tiempo el personal de limpieza retirará todos los materiales,False
133,Se han incorporado al centro dos docentes para el nuevo curso. Los formadores Mario y Roberto serán los responsables de coordinar el departamento de Lengua Castellana.,Se han incorporado al centro dos docentes para el nuevo curso. Los profesores Mario y Roberto serán los responsables de coordinar el departamento de Lengua Castellana.,False
152,Todos los asistentes al viaje recibirá una acreditación,Cada asistente al viaje recibirá una acreditación,False
153,Recibirán una prestación las paradas,Recibirán una prestación las personas en paro,False
154,Habitualmente los equipos de trabajo funcionan únicamente como vehículo para que alguna pueda hacerse con el control o mantenerse con él,Habitualmente los equipos de trabajo funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control o mantenerse con él,False
160,los equipos de futbol funcionan únicamente como vehículo para que alguno pueda hacerse con el control o mantenerse con él,los equipos de futbol funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control o mantenerse con él,False
169,Todos los asistentes al viaje recibirá un dossier explicativo,Cada asistente al viaje recibirá un dossier explicativo,False
172,los equipos de futbol funcionan únicamente como vehículo para que alguna pueda hacerse con el control o mantenerse con él,los equipos de futbol funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control o mantenerse con él,False
177,Cuando el alumno inclusión en el plan de estudios comenzará el proceso,Cuando se inclusión en el plan de estudios comenzará el proceso,False
178,Establecer un protocolo de actuación para todos las profesoras de manera unívoca,Establecer un protocolo de actuación para todo el profesorado de manera unívoca,False
179,El tiempo que esté aquí no debe tomar agua que no le sea suministrada por los especializados en su cirugía,El tiempo que esté aquí no debe tomar agua que no le sea suministrada por el personal experto en su cirugía,False
190,Todos los asistentes al viaje obtendrá un dossier explicativo,Cada asistente al viaje obtendrá un dossier explicativo,False
210,Otro campo de actuación importante fueron los hospitales dónde se trabaja con los enfermeros,Otro campo de actuación importante fueron los hospitales dónde se trabaja con el personal sanitario,False
224,Habitualmente los partidos funcionan únicamente como vehículo para que alguna pueda hacerse con el control o mantenerse con él,Habitualmente los partidos funcionan únicamente como vehículo para que cierta persona pueda hacerse con el control o mantenerse con él,False
243,Curso de idioma dirigidos a aquellos perfeccionar su segunda lengua,Curso de idioma dirigidos a quienes quieran perfeccionar su segunda lengua,False
248,los aspirantes deberán comunicar inmediatamente a la Comisión cualquier modificación importante de la ciudad.,quienes aspiren deberán comunicar inmediatamente a la Comisión cualquier modificación importante de la ciudad.,False
265,Disfruto seáis vosotros quienes a veces me lea algo,Disfruto alguna persona a veces me lea algo,False
273,Otro campo de actuación importante fueron los hospitales privados dónde se trabaja con los médicos,Otro campo de actuación importante fueron los hospitales privados dónde se trabaja con el personal médico,False
275,Los formadores Adolfo y Germán impartirán la asignatura de Francés.,Los formadores Adolfo y Germán impartirán la asignatura de Francés.,False
279,los alumnos han presentado una queja por los profesores por las notas. Los representantes estudiantiles son los alumnos Juanju y Javi.,el alumnado ha presentado una queja por el profesorado por las notas. Los representantes estudiantiles son los alumnos Juanju y Javi.,False
280,Establecer un protocolo de actuación para todos las formadoras de manera unívoca,Establecer un protocolo de actuación para todo el profesorado de manera unívoca,False
285,Me gusta que seáis vosotros quienes de vez en cuando me recite algo,Me gusta que alguien de vez en cuando me recite algo,False
297,Los restantes vocales,El resto de vocales,False
298,También requiere que las políticas se formulen con el colaborador de los líderes indígenas,También requiere que las políticas se formulen en colaboración con los líderes indígenas,False
301,Aunque soy capaz de leer solo me gusta escuchar leer,Aunque soy capaz de leer por mi cuenta me gusta escuchar leer,False
303,Me gusta que seáis vosotros quienes me lea algo,Me gusta que alguien me lea algo,False
304,Otro campo de actuación importante fueron los hospitales privados dónde se trabaja con las enfermeras codo con codo,Otro campo de actuación importante fueron los hospitales privados dónde se trabaja con el personal sanitario codo con codo,False
323,los alumnos han presentado una queja por las profesoras en los exámenes finales. Los representantes estudiantiles son los alumnos Juanju y Javi.,el alumnado ha presentado una queja por el profesorado en los exámenes finales. Los representantes estudiantiles son los alumnos Juanju y Javi.,False
325,Número de vigilantes de seguridad en la CAM que pudieran ser asignados a este servicio,Número de vigilantes de seguridad en la CAM que pudieran asignarse a este servicio,False
343,Todos los asistentes al viaje recibirá un diploma,Cada asistente al viaje recibirá un diploma,False
348,Estos ordenadores permitirán que los administrativos trabaje con más celeridad y realice sus actividades de manera más óptima,Estos ordenadores permitirán que el personal administrativo trabaje con más celeridad y realice sus actividades de manera más óptima,False
353,Todos los asistentes al curso obtendrá un dossier explicativo,Cada asistente al curso obtendrá un dossier explicativo,False
354,Otro campo de actuación importante han sido los hospitales privados dónde se trabaja con el personal sanitario,Otro campo de actuación importante han sido los hospitales privados dónde se trabaja con el personal sanitario,False
355,La Madre Tierra/Pachamama es sagrada y central para los,La Madre Tierra/Pachamama es sagrada y central para los,False
368,Todos los ponentes al viaje contará con un diploma,Cada ponente al viaje contará con un diploma,False
381,Mientras esté ingresado no debe tomar vitaminas que no le sea suministrada por los especialistas de nuestro centro,Mientras esté ingresado no debe tomar vitaminas que no le sea suministrada por el personal experto de nuestro centro,False
393,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por los expertos,Durante su ingreso no debe tomar vitaminas que no le sea suministrada por el personal especializado,False
404,Es crucial cubrir las carencias que tiene el promotor incorporando personal cualificado con un perfil diferente para compensar las carencias,Es crucial cubrir las carencias que tiene el equipo promotor incorporando personal cualificado con un perfil diferente para compensar las carencias,False
414,Tenemos que cubrir las carencias que presenta el promotor añadiendo personal con un perfil diferente para compensar las carencias,Tenemos que cubrir las carencias que presenta el equipo promotor añadiendo personal con un perfil diferente para compensar las carencias,False
420,Tenemos que solventar los problemas que tiene el promotor incorporando personal cualificado con un perfil diferente para compensar los fallos,Tenemos que solventar los problemas que tiene el equipo promotor incorporando personal cualificado con un perfil diferente para compensar los fallos,False
