gender_exclusive,gender_inclusive,origin,difficulty
"Siendo las 9.30 hs del 1 de febrero se reúnen los miembros del Consejo Directivo del SVAC, integrado por los Dras. XXX, XXX, XXX; en representación del personal de apoyo, XXXX; en representación de los becarios XXX, convocados por el Director del SVAC, y el Vicedirector, XXX para dar tratamiento a los siguientes temas:","Siendo las 9.30 hs del 1 de febrero se reúnen quienes conforman el Consejo Directivo del Instituto SVAC. En representación de las y los investigadores, las Dras. XXX, XXX, y los Dres. XX y XX; en representación del personal de apoyo, XXX; y en representación de las/los becarias/os XXX. Esta reunión fue convocada por la Dirección del Instituto SVAC, Dr./Dra. XXX y Dr./Dra. XXXXX para dar tratamiento a los siguientes temas:",guia_CONICET,dificultades_variadas
También se informa sobre la capacitación a miembros del Instituto LCsM que estén interesados en formar parte del comité. Se decide elevar una nota con los nombres de los interesados y su disponibilidad para fijar fechas de reuniones y capacitación con los responsables del área de comunicación.,También se informa que quienes quieran formar parte del comité tienen una capacitación disponible. Se decide elevar una nota incluyendo los nombres de las personas interesadas y su disponibilidad para fijar fechas de reuniones y capacitación con quienes son responsables del área de comunicación.,guia_CONICET,dificultades_variadas
"Se propone la figura de un coordinador, quien será elegido por sus compañeros del mismo estamento con acuerdo del Consejo Directivo y a la vez siendo miembro del mismo.","Se propone la figura de un/a coordinador/a, quien será elegido/a por sus compañeros del mismo estamento con acuerdo del Consejo Directivo y a la vez siendo miembro del mismo.",guia_CONICET,dificultades_variadas
personas que sufren Síndrome de Down,personas que presentan Síndrome de Down,guia_CHRYSALLIS,terminologia
personas que sufren Síndrome de Down,personas que tienen Síndrome de Down,guia_CHRYSALLIS,terminologia
Los ancianos necesitan cuidados especiales.,Las personas de la tercera edad necesitan cuidados especiales.,GPT-3.5_fewshot,terminologia
Los ciegos no pueden ver.,Las personas ciegas no pueden ver.,GPT-3.5_fewshot,terminologia
Los discapacitados tienen dificultades para acceder a ciertos lugares.,Las personas con discapacidad tienen dificultades para acceder a ciertos lugares.,GPT-3.5_fewshot,terminologia
Los homosexuales enfrentan discriminación en algunos entornos.,Las personas homosexuales enfrentan discriminación en algunos entornos.,GPT-3.5_fewshot,terminologia
Los indígenas viven en condiciones precarias.,Las personas indígenas viven en condiciones precarias.,GPT-3.5_fewshot,terminologia
Los delincuentes deben ser castigados con dureza.,Las personas que cometen delitos deben ser castigadas con dureza.,GPT-3.5_fewshot,terminologia
Los pobres tienen dificultades para acceder a la atención médica.,Las personas en situación de pobreza tienen dificultades para acceder a la atención médica.,GPT-3.5_fewshot,terminologia
Los drogadictos necesitan ayuda para rehabilitarse.,Las personas con problemas de adicción necesitan ayuda para rehabilitarse.,GPT-3.5_fewshot,terminologia
Los enfermos mentales a menudo son estigmatizados por la sociedad.,Las personas con enfermedades mentales a menudo son estigmatizadas por la sociedad.,GPT-3.5_fewshot,terminologia
Los inmigrantes ilegales deben ser deportados.,Las personas inmigrantes en situación irregular deben regularizar su situación migratoria.,GPT-3.5_fewshot,terminologia
Los minusválidos necesitan adaptaciones en el entorno.,Las personas con discapacidad necesitan adaptaciones en el entorno.,GPT-3.5_fewshot,terminologia
Los transexuales enfrentan discriminación en el lugar de trabajo.,Las personas transgénero enfrentan discriminación en el lugar de trabajo.,GPT-3.5_fewshot,terminologia
Los mendigos viven en la calle.,Las personas en situación de calle viven en condiciones precarias.,GPT-3.5_fewshot,terminologia
Los niños hiperactivos tienen dificultades en la escuela.,Las personas menores con Trastorno por Déficit de Atención e Hiperactividad (TDAH) tienen dificultades en la escuela.,GPT-3.5_fewshot,terminologia
Los alcohólicos sufren problemas de salud.,Las personas con problemas de alcoholismo sufren problemas de salud.,GPT-3.5_fewshot,terminologia
Los sin techo necesitan refugio y alimentos.,Las personas sin hogar necesitan refugio y alimentos.,GPT-3.5_fewshot,terminologia
Los gordos son objeto de burlas en la sociedad.,Las personas con sobrepeso u obesidad son objeto de burlas en la sociedad.,GPT-3.5_fewshot,terminologia
Los autistas tienen dificultades para comunicarse.,Las personas con trastorno del espectro autista tienen dificultades para comunicarse.,GPT-3.5_fewshot,terminologia
Los ancianos están más expuestos al riesgo de caídas.,Las personas mayores están más expuestas al riesgo de caídas.,GPT-3.5_fewshot,terminologia
Los esclavos eran tratados como propiedad.,Las personas esclavizadas eran tratadas como propiedad.,GPT-3.5_fewshot,terminologia
Los presos deben cumplir sus condenas.,Las personas privadas de libertad deben cumplir sus condenas.,GPT-3.5_fewshot,terminologia
Los homosexuales tienen el derecho de casarse.,Las personas homosexuales tienen el derecho de casarse.,GPT-3.5_fewshot,terminologia
Los mendigos buscan refugio en las calles.,Las personas que viven en situación de calle buscan refugio en las calles.,GPT-3.5_fewshot,terminologia
Los mendigos piden limosna en las esquinas.,Las personas que piden limosna se encuentran en las esquinas.,GPT-3.5_fewshot,terminologia
Los prisioneros tienen horarios estrictos en la cárcel.,Las personas privadas de libertad tienen horarios estrictos en la cárcel.,GPT-3.5_fewshot,terminologia
