,gender_exclusive,gender_inclusive,origin,difficulty
0,Unos dos mil asistentes,Aproximadamente dos mil asistentes,guía_CCGG,persona_generica
1,Según han denunciado muchos expertos,Según ha denunciado multitud de especialistas,guía_CCGG,parafrasis
2,Según han denunciado muchos expertos,Según han denunciado gran cantidad de especialistas,guía_CCGG,parafrasis
3,Podrán ser candidatos,Podrán presentar su candidatura,guía_CCGG,parafrasis
4,Se pedirá a los titulares que ejerzan su derecho,Se pedirá a cada titular que ejerza su derecho,guía_CCGG,parafrasis
5,Dichos responsables supervisarán,Tales responsables supervisarán,guía_CCGG,persona_generica
6,"Han optado, forzados por las circunstancias, por establecer la firma electrónica","Han optado, debido a las circunstancias, por establecer la firma electrónica",guía_CCGG,parafrasis
7,Que no estén incluidos en la lista,Que no figuren en la lista,guía_CCGG,parafrasis
8,No podrá ser declarado apto,No podrá aceptarse,guía_CCGG,parafrasis
9,El que tenga mayores a su cargo,Quien tenga mayores a su cargo,guía_CCGG,persona_generica
10,La que ocupe el puesto de gerente,Quien ocupe el puesto de gerente,guía_CCGG,persona_generica
11,Los que superen la prueba de aptitud,Quienes superen la prueba de aptitud,guía_CCGG,persona_generica
12,Las que se gradúen con honores,Quienes se gradúen con honores,guía_CCGG,persona_generica
13,Uno que desee participar,Cualquiera que desee participar,guía_CCGG,persona_generica
14,Todos los que cumplan con los requisitos,Cualesquiera que cumplan con los requisitos,guía_CCGG,persona_generica
15,Uno que desee participar,Alguien que desee participar,guía_CCGG,persona_generica
16,El que que cumpla con los requisitos,Alguien que cumpla con los requisitos,guía_CCGG,persona_generica
17,Cuando uno quiere acceder al formulario,Cuando alguien quiere acceder al formulario,guía_CCGG,persona_generica
18,Todos los interesados pueden presentar su instancia,Cualquier persona interesada puede presentar su instancia,guía_CCGG,persona_generica
19,Si los empleados trabajamos eficazmente reduciremos los plazos,Trabajando eficazmente se reducirán los plazos,guía_CCGG,omision
20,Los miembros de la Junta de Personal propondrán soluciones,Se propondrán soluciones por la Junta de Personal,guía_CCGG,omision
21,Los representantes de los trabajadores y de la Administración debatirán cuestiones esenciales,La representación del personal y de la Administración debatirán cuestiones esenciales,guía_CCGG,plural_neutro
22,Intervendrán distintos ponentes,Intervendrán diferentes ponentes,guía_CCGG,parafrasis
23,Están capacitados para,Son capaces de,guía_CCGG,parafrasis
24,Los restantes vocales,El resto de vocales,guía_CCGG,parafrasis
25,Debe ponerse en conocimiento del familiar o la persona que lo solicite,Debe ponerse en conocimiento de la persona o familiar que lo solicite,guía_CCGG,parafrasis
26,Los juristas de reconocido prestigio Carmen López y Jaime Aguirre,"Carmen López y Jaime Aguirre, juristas de reconocido prestigio",guía_CCGG,parafrasis
27,Intervendrán distintos ponentes,Intervendrán diferentes ponentes,guía_CCGG,parafrasis
28,Los restantes vocales,El resto de vocales,guía_CCGG,parafrasis
29,Los funcionarios,El funcionariado,guía_CCGG,plural_generico
30,Los funcionarios,El personal funcionario,guía_CCGG,plural_complejo
31,Los empleados,El personal,guía_CCGG,plural_generico
34,Firmas de los reunidos,Firmas de las personas asistentes,guía_CCGG,parafrasis
37,Unos dos mil asistentes,Aproximadamente dos mil asistentes,guía_CCGG,parafrasis
43,Los miembros de la Junta de Personal propondrán soluciones,Se propondrán soluciones por la Junta de Personal,guía_CCGG,omision
44,Los representantes de los trabajadores y de la Administración debatirán cuestiones esenciales,La representación del personal y de la Administración debatirán cuestiones esenciales,guía_CCGG,plural_complejo
45,Todos los alumnos deben entregar la tarea mañana.,Todo el alumnado debe entregar la tarea mañana.,GPT-4_human,plurales
46,Los ciudadanos tienen derecho a votar,La ciudadanía tiene derecho a votar,GPT-4_human,plurales
47,Los profesores serán evaluados por su desempeño.,El profesorado será evaluado por su desempeño.,GPT-4_human,plurales
48,Los trabajadores recibirán un aumento.,La plantilla recibirá un aumento.,GPT-4_human,plurales
49,Los españoles son conocidos por su hospitalidad.,La población española es conocida por su hospitalidad.,GPT-4_human,plurales
50,Los niños y las niñas juegan en el parque.,Los niños y las niñas juegan en el parque.,GPT-4_human,plurales
51,Los médicos tienen una larga jornada laboral.,El personal médico tiene una larga jornada laboral.,GPT-4_human,plurales
52,Los ingenieros y las ingenieras trabajan en el proyecto.,El equipo de ingeniería trabaja en el proyecto.,GPT-4_human,plurales
